,author_id,username,display_name,author_desc,author_location,followers,following,tweets count,tweet date,tweet_id,tweet_lang,tweet_reply,text,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_tweets,geo,annotations,urls,mentions,hashtags
974,3301089457,192kbcom,192kb.com,"Online vinyl records store: Electro, Hip-hop, Alternative ... Free web radio without ads. 
https://t.co/AA2psGVgOD, indie luxury music!",New York,234,254,111365,2021-08-05 16:17:19+00:00,1423317201184952320,en,everyone,"RIP to K Hand too, I just honestly didn't know too much of her music and missed my chance to see her in Seattle so would feel disingenuous to pretend like I did",0,0,2,0,3301089457.0,"[{'type': 'replied_to', 'id': '1423055787807580162', 'in_reply_to_user_id': '3301089457', 'reply_settings': 'everyone', 'entities': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/r1YShEgzup', 'expanded_url': 'https://youtu.be/WXftUHUox2Q', 'display_url': 'youtu.be/WXftUHUox2Q'}]}, 'created_at': '2021-08-04T22:58:33.000Z', 'referenced_tweets': [{'type': 'replied_to', 'id': '1423054935285923840'}], 'author_id': '3301089457', 'lang': 'und', 'text': 'https://t.co/r1YShEgzup', 'public_metrics': {'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}}]",,"[{'start': 8, 'end': 29, 'probability': 0.39980000000000004, 'type': 'Organization', 'normalized_text': 'House & Techno Pioneer'}, {'start': 33, 'end': 53, 'probability': 0.4248, 'type': 'Organization', 'normalized_text': 'First Lady Of Detroit'}]","[{'start': 72, 'end': 95, 'url': 'https://t.co/G3Pq1GBgr7', 'expanded_url': 'https://192kb.com/k-hand-house-techno-pioneer-first-lady-of-detroit-dead-at-56/', 'display_url': '192kb.com/k-hand-house-t…'}]",,
975,388449512,192kbcom,192kb.com,"Online vinyl records store: Electro, Hip-hop, Alternative ... Free web radio without ads. 
https://t.co/AA2psGVgOD, indie luxury music!",New York,234,254,111365,2021-08-04 11:13:33+00:00,1422878369863979008,en,everyone,"K-Hand, the Detroit house and techno legend, has died: Dubbed ‘the first lady of Detroit’, Kelli Hand stood as an… https://t.co/vRfhA0Sack https://t.co/fKJVuHRHrb",0,0,2,0,,,"{'full_name': 'Portland, OR', 'id': 'ac88a4f17a51c7fc'}","[{'start': 8, 'end': 29, 'probability': 0.39980000000000004, 'type': 'Organization', 'normalized_text': 'House & Techno Pioneer'}, {'start': 33, 'end': 53, 'probability': 0.4248, 'type': 'Organization', 'normalized_text': 'First Lady Of Detroit'}]","[{'start': 72, 'end': 95, 'url': 'https://t.co/G3Pq1GBgr7', 'expanded_url': 'https://192kb.com/k-hand-house-techno-pioneer-first-lady-of-detroit-dead-at-56/', 'display_url': '192kb.com/k-hand-house-t…'}]",,
976,32346804,192kbcom,192kb.com,"Online vinyl records store: Electro, Hip-hop, Alternative ... Free web radio without ads. 
https://t.co/AA2psGVgOD, indie luxury music!",New York,234,254,111365,2021-08-06 01:50:10+00:00,1423461363783974912,en,everyone,"Rest in Paradise 
@khand.music 場所: San Francisco, California https://t.co/LDSm690apT",0,0,2,0,,,"{'full_name': 'San Francisco, CA', 'id': '5a110d312052166f'}","[{'start': 8, 'end': 29, 'probability': 0.39980000000000004, 'type': 'Organization', 'normalized_text': 'House & Techno Pioneer'}, {'start': 33, 'end': 53, 'probability': 0.4248, 'type': 'Organization', 'normalized_text': 'First Lady Of Detroit'}]","[{'start': 72, 'end': 95, 'url': 'https://t.co/G3Pq1GBgr7', 'expanded_url': 'https://192kb.com/k-hand-house-techno-pioneer-first-lady-of-detroit-dead-at-56/', 'display_url': '192kb.com/k-hand-house-t…'}]",,
977,66418389,AurynFansEspaa,AurynFansEspaña,"AURYN es la teenband revelación de nuestro país, formado por Carlos Marco, Blas Cantó, Dani Fernández, Álvaro Gango y David LaFuente.",,41,79,14724,2021-08-05 15:37:05+00:00,1423307078676873216,ja,everyone,ていうかK. Handも死んだの！？,0,0,0,0,66418389.0,"[{'type': 'replied_to', 'id': '1423306541323591682', 'reply_settings': 'everyone', 'created_at': '2021-08-05T15:34:57.000Z', 'author_id': '66418389', 'lang': 'ja', 'text': '【RT】うわあああ！ コロナで！？', 'entities': {'annotations': [{'start': 11, 'end': 13, 'probability': 0.2978, 'type': 'Organization', 'normalized_text': 'コロナ'}]}, 'public_metrics': {'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}}]",,"[{'start': 14, 'end': 26, 'probability': 0.3085, 'type': 'Organization', 'normalized_text': 'Detroit House'}, {'start': 51, 'end': 85, 'probability': 0.06910000000000001, 'type': 'Organization', 'normalized_text': '56 Kelli Hand founded Acacia Record'}]","[{'start': 88, 'end': 111, 'url': 'https://t.co/ToTBCfV8cW', 'expanded_url': 'https://pitchfork.com/news/k-hand-detroit-house-and-techno-dj-dies-at-56', 'display_url': 'pitchfork.com/news/k-hand-de…'}]","[{'start': 0, 'end': 5, 'username': 'null', 'id': '3562471'}]",
978,178281022,AurynFansEspaa,AurynFansEspaña,"AURYN es la teenband revelación de nuestro país, formado por Carlos Marco, Blas Cantó, Dani Fernández, Álvaro Gango y David LaFuente.",,41,79,14724,2021-08-04 11:13:01+00:00,1422878232903229440,ja,everyone,"@azmok ええーーー！！

https://t.co/GXI27xnNBm",0,0,0,0,134011749.0,"[{'type': 'replied_to', 'id': '1422876875660021762'}]",,"[{'start': 14, 'end': 26, 'probability': 0.3085, 'type': 'Organization', 'normalized_text': 'Detroit House'}, {'start': 51, 'end': 85, 'probability': 0.06910000000000001, 'type': 'Organization', 'normalized_text': '56 Kelli Hand founded Acacia Record'}]","[{'start': 88, 'end': 111, 'url': 'https://t.co/ToTBCfV8cW', 'expanded_url': 'https://pitchfork.com/news/k-hand-detroit-house-and-techno-dj-dies-at-56', 'display_url': 'pitchfork.com/news/k-hand-de…'}]","[{'start': 0, 'end': 5, 'username': 'null', 'id': '3562471'}]",
979,1106176933904015360,AurynFansEspaa,AurynFansEspaña,"AURYN es la teenband revelación de nuestro país, formado por Carlos Marco, Blas Cantó, Dani Fernández, Álvaro Gango y David LaFuente.",,41,79,14724,2021-08-06 01:31:38+00:00,1423456698576949248,en,everyone,"4 BHK Apartment House for Sale 2.3 Crores 3400.0 Sq. Feet in Shipra Srishti, Ahinsa Khand 1
Builtup area and carpet area are respectively  3400.0 Sq. Feet and 3000.0 Sq. Feet.
The property has 4 bedrooms, 5 bathrooms an. https://t.co/JuShwuIUdy https://t.co/kjARZI7ZaQ",0,0,0,0,,,,"[{'start': 14, 'end': 26, 'probability': 0.3085, 'type': 'Organization', 'normalized_text': 'Detroit House'}, {'start': 51, 'end': 85, 'probability': 0.06910000000000001, 'type': 'Organization', 'normalized_text': '56 Kelli Hand founded Acacia Record'}]","[{'start': 88, 'end': 111, 'url': 'https://t.co/ToTBCfV8cW', 'expanded_url': 'https://pitchfork.com/news/k-hand-detroit-house-and-techno-dj-dies-at-56', 'display_url': 'pitchfork.com/news/k-hand-de…'}]","[{'start': 0, 'end': 5, 'username': 'null', 'id': '3562471'}]",
980,786040836370817024,VineetTNIE,Vineet Upadhyay,"State Correspondent of Uttarakhand for The New Indian Express, The Morning Standard since August 2019. Earlier with The Times of India (2014-2019).","Dehradun, India",1501,2499,9323,2021-08-05 15:21:22+00:00,1423303120692580352,en,everyone,@Stellar_Sphere Him and K Hand. Both passed on the same day =(,0,0,1,0,1.2074788982394307e+18,"[{'type': 'replied_to', 'id': '1423285469215793157', 'in_reply_to_user_id': '786040836370817024', 'reply_settings': 'everyone', 'created_at': '2021-08-05T14:11:13.000Z', 'entities': {'mentions': [{'start': 0, 'end': 16, 'username': 'ApolloNashMusic', 'id': '786040836370817024'}]}, 'referenced_tweets': [{'type': 'replied_to', 'id': '1423274608938074112'}], 'author_id': '1207478898239430656', 'lang': 'en', 'text': '@ApolloNashMusic RIP to a great one.', 'public_metrics': {'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}}]",,"[{'start': 85, 'end': 99, 'probability': 0.291, 'type': 'Place', 'normalized_text': 'Poorvi Pakistan'}, {'start': 103, 'end': 115, 'probability': 0.6502, 'type': 'Place', 'normalized_text': 'East Pakistan'}, {'start': 225, 'end': 237, 'probability': 0.6956, 'type': 'Place', 'normalized_text': 'East Pakistan'}]",,"[{'start': 12, 'end': 25, 'username': 'pushkardhami', 'id': '88343658'}, {'start': 240, 'end': 256, 'username': 'NewIndianXpress', 'id': '94761188'}, {'start': 257, 'end': 273, 'username': 'TheMornStandard', 'id': '1064102493662044160'}]",
981,167780573,VineetTNIE,Vineet Upadhyay,"State Correspondent of Uttarakhand for The New Indian Express, The Morning Standard since August 2019. Earlier with The Times of India (2014-2019).","Dehradun, India",1501,2499,9323,2021-08-04 11:07:43+00:00,1422876901996077056,en,everyone,"The world of techno and house music has lost a pioneer, but her legacy will live on far beyond her years. Rest in peace, Kelli Hand.  https://t.co/gDV3Bm0CiT",0,0,1,0,,,,"[{'start': 85, 'end': 99, 'probability': 0.291, 'type': 'Place', 'normalized_text': 'Poorvi Pakistan'}, {'start': 103, 'end': 115, 'probability': 0.6502, 'type': 'Place', 'normalized_text': 'East Pakistan'}, {'start': 225, 'end': 237, 'probability': 0.6956, 'type': 'Place', 'normalized_text': 'East Pakistan'}]",,"[{'start': 12, 'end': 25, 'username': 'pushkardhami', 'id': '88343658'}, {'start': 240, 'end': 256, 'username': 'NewIndianXpress', 'id': '94761188'}, {'start': 257, 'end': 273, 'username': 'TheMornStandard', 'id': '1064102493662044160'}]",
982,1206917750527913984,VineetTNIE,Vineet Upadhyay,"State Correspondent of Uttarakhand for The New Indian Express, The Morning Standard since August 2019. Earlier with The Times of India (2014-2019).","Dehradun, India",1501,2499,9323,2021-08-06 01:29:31+00:00,1423456168215650304,in,everyone,"gX SiH,, kHaNd KuDu DiGoReNk https://t.co/2Ze5fLGj61",0,0,1,0,,,,"[{'start': 85, 'end': 99, 'probability': 0.291, 'type': 'Place', 'normalized_text': 'Poorvi Pakistan'}, {'start': 103, 'end': 115, 'probability': 0.6502, 'type': 'Place', 'normalized_text': 'East Pakistan'}, {'start': 225, 'end': 237, 'probability': 0.6956, 'type': 'Place', 'normalized_text': 'East Pakistan'}]",,"[{'start': 12, 'end': 25, 'username': 'pushkardhami', 'id': '88343658'}, {'start': 240, 'end': 256, 'username': 'NewIndianXpress', 'id': '94761188'}, {'start': 257, 'end': 273, 'username': 'TheMornStandard', 'id': '1064102493662044160'}]",
983,244751784,trichomeinc,trichome,Trichome Inc/Trichome.com is an electronic music label.,"Atlanta, GA",2385,682,70817,2021-08-05 15:12:40+00:00,1423300933555920896,ja,everyone,@eichi_vp Paul Johnsonは日中確認したんですが、さっきインスタ開いたらkevin saundersonがK-handの追悼ポストしてまして…さすがに衝撃を隠せないですね。,0,0,1,0,469853852.0,"[{'type': 'replied_to', 'id': '1423299382833606657', 'in_reply_to_user_id': '244751784', 'reply_settings': 'everyone', 'entities': {'urls': [{'start': 46, 'end': 69, 'url': 'https://t.co/1j4P2SA06v', 'expanded_url': 'https://twitter.com/amass_jp/status/1422808001614737409', 'display_url': 'twitter.com/amass_jp/statu…'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'Kimini_Todoke47', 'id': '244751784'}], 'annotations': [{'start': 17, 'end': 22, 'probability': 0.5672, 'type': 'Person', 'normalized_text': 'K-HAND'}, {'start': 24, 'end': 32, 'probability': 0.9079, 'type': 'Person', 'normalized_text': 'ポール・ジョンソン'}]}, 'created_at': '2021-08-05T15:06:31.000Z', 'referenced_tweets': [{'type': 'quoted', 'id': '1422808001614737409'}, {'type': 'replied_to', 'id': '1423295856099217413'}], 'author_id': '469853852', 'lang': 'ja', 'text': '@Kimini_Todoke47 K-HAND、ポール・ジョンソンと立て続けの訃報でした。 https://t.co/1j4P2SA06v', 'public_metrics': {'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}}]",,"[{'start': 8, 'end': 29, 'probability': 0.32130000000000003, 'type': 'Organization', 'normalized_text': 'House & Techno Pioneer'}, {'start': 33, 'end': 53, 'probability': 0.6329, 'type': 'Other', 'normalized_text': 'First Lady Of Detroit'}]","[{'start': 72, 'end': 95, 'url': 'https://t.co/75RKYtfpJk', 'expanded_url': 'http://dlvr.it/S53CmT', 'display_url': 'dlvr.it/S53CmT'}, {'start': 96, 'end': 119, 'url': 'https://t.co/viri082hzG', 'expanded_url': 'https://twitter.com/trichomeinc/status/1423057177871151104/photo/1', 'display_url': 'pic.twitter.com/viri082hzG'}]",,
